role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']","I am a businessman, more like a scholar.","I am a [ROLE NOUN], more like a scholar."
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I am a businesswoman, more like a scholar.","I am a [ROLE NOUN], more like a scholar."
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']",A businessperson has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.,A [ROLE NOUN] has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']",A businessman has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.,A [ROLE NOUN] has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']",A businesswoman has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.,A [ROLE NOUN] has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I am passionate about people, and as a businessperson I show my passion by giving my customers exceptional service.","I am passionate about people, and as a [ROLE NOUN] I show my passion by giving my customers exceptional service."
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']","I am passionate about people, and as a businessman I show my passion by giving my customers exceptional service.","I am passionate about people, and as a [ROLE NOUN] I show my passion by giving my customers exceptional service."
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I am passionate about people, and as a businesswoman I show my passion by giving my customers exceptional service.","I am passionate about people, and as a [ROLE NOUN] I show my passion by giving my customers exceptional service."
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I am a businessperson, entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant.","I am a [ROLE NOUN], entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant."
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']","I am a businessman, entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant.","I am a [ROLE NOUN], entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant."
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I am a businesswoman, entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant.","I am a [ROLE NOUN], entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant."
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I did this while maintaining a career as a businessperson and educator, which has given me a great understanding of people from all walks of life and professions.","I did this while maintaining a career as a [ROLE NOUN] and educator, which has given me a great understanding of people from all walks of life and professions."
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']","I did this while maintaining a career as a businessman and educator, which has given me a great understanding of people from all walks of life and professions.","I did this while maintaining a career as a [ROLE NOUN] and educator, which has given me a great understanding of people from all walks of life and professions."
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I did this while maintaining a career as a businesswoman and educator, which has given me a great understanding of people from all walks of life and professions.","I did this while maintaining a career as a [ROLE NOUN] and educator, which has given me a great understanding of people from all walks of life and professions."
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']",I am a successful businessperson having run residential and commercial real estate brokerages and a mortgage brokerage.,I am a successful [ROLE NOUN] having run residential and commercial real estate brokerages and a mortgage brokerage.
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']",I am a successful businessman having run residential and commercial real estate brokerages and a mortgage brokerage.,I am a successful [ROLE NOUN] having run residential and commercial real estate brokerages and a mortgage brokerage.
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']",I am a successful businesswoman having run residential and commercial real estate brokerages and a mortgage brokerage.,I am a successful [ROLE NOUN] having run residential and commercial real estate brokerages and a mortgage brokerage.
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']",I am also a businessperson and and a web developer.,I am also a [ROLE NOUN] and and a web developer.
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']",I am also a businessman and and a web developer.,I am also a [ROLE NOUN] and and a web developer.
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']",I am also a businesswoman and and a web developer.,I am also a [ROLE NOUN] and and a web developer.
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']","After sixteen years, I left to pursue “my dream” of being a successful businessperson.","After sixteen years, I left to pursue “my dream” of being a successful [ROLE NOUN]."
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']","After sixteen years, I left to pursue “my dream” of being a successful businessman.","After sixteen years, I left to pursue “my dream” of being a successful [ROLE NOUN]."
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']","After sixteen years, I left to pursue “my dream” of being a successful businesswoman.","After sixteen years, I left to pursue “my dream” of being a successful [ROLE NOUN]."
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']","Decide to act and profit from your proposals In my life I have grown up as a businessperson and my intention is to spread my experience and knowledge, and of course, to make my own profit from this.","Decide to act and profit from your proposals In my life I have grown up as a [ROLE NOUN] and my intention is to spread my experience and knowledge, and of course, to make my own profit from this."
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']","Decide to act and profit from your proposals In my life I have grown up as a businessman and my intention is to spread my experience and knowledge, and of course, to make my own profit from this.","Decide to act and profit from your proposals In my life I have grown up as a [ROLE NOUN] and my intention is to spread my experience and knowledge, and of course, to make my own profit from this."
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']","Decide to act and profit from your proposals In my life I have grown up as a businesswoman and my intention is to spread my experience and knowledge, and of course, to make my own profit from this.","Decide to act and profit from your proposals In my life I have grown up as a [ROLE NOUN] and my intention is to spread my experience and knowledge, and of course, to make my own profit from this."
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and businessperson.","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and [ROLE NOUN]."
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and businessman.","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and [ROLE NOUN]."
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and businesswoman.","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and [ROLE NOUN]."
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']","Others may have viewed me as an accomplished college graduate and businessperson, but I saw myself as a lost soul, always looking for something that felt right.","Others may have viewed me as an accomplished college graduate and [ROLE NOUN], but I saw myself as a lost soul, always looking for something that felt right."
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']","Others may have viewed me as an accomplished college graduate and businessman, but I saw myself as a lost soul, always looking for something that felt right.","Others may have viewed me as an accomplished college graduate and [ROLE NOUN], but I saw myself as a lost soul, always looking for something that felt right."
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']","Others may have viewed me as an accomplished college graduate and businesswoman, but I saw myself as a lost soul, always looking for something that felt right.","Others may have viewed me as an accomplished college graduate and [ROLE NOUN], but I saw myself as a lost soul, always looking for something that felt right."
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']",Consequently my first attempt at being a businessperson failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all.,Consequently my first attempt at being a [ROLE NOUN] failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all.
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']",Consequently my first attempt at being a businessman failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all.,Consequently my first attempt at being a [ROLE NOUN] failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all.
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']",Consequently my first attempt at being a businesswoman failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all.,Consequently my first attempt at being a [ROLE NOUN] failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all.
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']",I made a committed to learn what was needed to become a businessperson.,I made a committed to learn what was needed to become a [ROLE NOUN].
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']",I made a committed to learn what was needed to become a businessman.,I made a committed to learn what was needed to become a [ROLE NOUN].
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']",I made a committed to learn what was needed to become a businesswoman.,I made a committed to learn what was needed to become a [ROLE NOUN].
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a businessperson that lives, breaths and loves to create.","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a [ROLE NOUN] that lives, breaths and loves to create."
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a businessman that lives, breaths and loves to create.","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a [ROLE NOUN] that lives, breaths and loves to create."
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a businesswoman that lives, breaths and loves to create.","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a [ROLE NOUN] that lives, breaths and loves to create."
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']","I thought I had it all, successful career as a ballerina, turned executive businessperson, then accomplished entrepreneur.","I thought I had it all, successful career as a ballerina, turned executive [ROLE NOUN], then accomplished entrepreneur."
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']","I thought I had it all, successful career as a ballerina, turned executive businessman, then accomplished entrepreneur.","I thought I had it all, successful career as a ballerina, turned executive [ROLE NOUN], then accomplished entrepreneur."
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']","I thought I had it all, successful career as a ballerina, turned executive businesswoman, then accomplished entrepreneur.","I thought I had it all, successful career as a ballerina, turned executive [ROLE NOUN], then accomplished entrepreneur."
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']","My lifelong goal is to be an honest, ethical, and authentic businessperson.","My lifelong goal is to be an honest, ethical, and authentic [ROLE NOUN]."
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']","My lifelong goal is to be an honest, ethical, and authentic businessman.","My lifelong goal is to be an honest, ethical, and authentic [ROLE NOUN]."
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']","My lifelong goal is to be an honest, ethical, and authentic businesswoman.","My lifelong goal is to be an honest, ethical, and authentic [ROLE NOUN]."
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']","I'm a businessperson, a strategic partner to the brands I love and endorse.","I'm a [ROLE NOUN], a strategic partner to the brands I love and endorse."
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']","I'm a businessman, a strategic partner to the brands I love and endorse.","I'm a [ROLE NOUN], a strategic partner to the brands I love and endorse."
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']","I'm a businesswoman, a strategic partner to the brands I love and endorse.","I'm a [ROLE NOUN], a strategic partner to the brands I love and endorse."
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']",I can tell you I am not the city businessperson I always dreamed I would be and I’m okay with that.,I can tell you I am not the city [ROLE NOUN] I always dreamed I would be and I’m okay with that.
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']",I can tell you I am not the city businessman I always dreamed I would be and I’m okay with that.,I can tell you I am not the city [ROLE NOUN] I always dreamed I would be and I’m okay with that.
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']",I can tell you I am not the city businesswoman I always dreamed I would be and I’m okay with that.,I can tell you I am not the city [ROLE NOUN] I always dreamed I would be and I’m okay with that.
businessperson,neutral,feminine,True,"['businessperson', 'businessman', 'businesswoman']","As a businessperson, I’m known for my incomparable salesmanship.","As a [ROLE NOUN], I’m known for my incomparable salesmanship."
businessman,masculine,feminine,True,"['businessperson', 'businessman', 'businesswoman']","As a businessman, I’m known for my incomparable salesmanship.","As a [ROLE NOUN], I’m known for my incomparable salesmanship."
businesswoman,feminine,feminine,False,"['businessperson', 'businessman', 'businesswoman']","As a businesswoman, I’m known for my incomparable salesmanship.","As a [ROLE NOUN], I’m known for my incomparable salesmanship."
outdoorsperson,neutral,neutral,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorsperson with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography.","I am an avid [ROLE NOUN] with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography."
outdoorsman,masculine,neutral,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorsman with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography.","I am an avid [ROLE NOUN] with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography."
outdoorswoman,feminine,neutral,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorswoman with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography.","I am an avid [ROLE NOUN] with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography."
outdoorsperson,neutral,neutral,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m an experimental physicist by day (and night, I guess) and curious outdoorsperson much of the rest of the time.","I’m an experimental physicist by day (and night, I guess) and curious [ROLE NOUN] much of the rest of the time."
outdoorsman,masculine,neutral,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m an experimental physicist by day (and night, I guess) and curious outdoorsman much of the rest of the time.","I’m an experimental physicist by day (and night, I guess) and curious [ROLE NOUN] much of the rest of the time."
outdoorswoman,feminine,neutral,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m an experimental physicist by day (and night, I guess) and curious outdoorswoman much of the rest of the time.","I’m an experimental physicist by day (and night, I guess) and curious [ROLE NOUN] much of the rest of the time."
outdoorsperson,neutral,neutral,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I’m an avid outdoorsperson.,I’m an avid [ROLE NOUN].
outdoorsman,masculine,neutral,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I’m an avid outdoorsman.,I’m an avid [ROLE NOUN].
outdoorswoman,feminine,neutral,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I’m an avid outdoorswoman.,I’m an avid [ROLE NOUN].
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Like many of you, I have been an avid outdoorsperson all my life.","Like many of you, I have been an avid [ROLE NOUN] all my life."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Like many of you, I have been an avid outdoorsman all my life.","Like many of you, I have been an avid [ROLE NOUN] all my life."
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Like many of you, I have been an avid outdoorswoman all my life.","Like many of you, I have been an avid [ROLE NOUN] all my life."
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsperson and I love making and creating things.,I am an avid [ROLE NOUN] and I love making and creating things.
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsman and I love making and creating things.,I am an avid [ROLE NOUN] and I love making and creating things.
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorswoman and I love making and creating things.,I am an avid [ROLE NOUN] and I love making and creating things.
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","When I started this blog, I was a big city kid turned fake outdoorsperson.","When I started this blog, I was a big city kid turned fake [ROLE NOUN]."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","When I started this blog, I was a big city kid turned fake outdoorsman.","When I started this blog, I was a big city kid turned fake [ROLE NOUN]."
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","When I started this blog, I was a big city kid turned fake outdoorswoman.","When I started this blog, I was a big city kid turned fake [ROLE NOUN]."
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",From grass-roots I am an avid outdoorsperson and enjoy skiing in the winters and riding my bike and fishing in the summers.,From grass-roots I am an avid [ROLE NOUN] and enjoy skiing in the winters and riding my bike and fishing in the summers.
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",From grass-roots I am an avid outdoorsman and enjoy skiing in the winters and riding my bike and fishing in the summers.,From grass-roots I am an avid [ROLE NOUN] and enjoy skiing in the winters and riding my bike and fishing in the summers.
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",From grass-roots I am an avid outdoorswoman and enjoy skiing in the winters and riding my bike and fishing in the summers.,From grass-roots I am an avid [ROLE NOUN] and enjoy skiing in the winters and riding my bike and fishing in the summers.
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am a creator, a designer, and an avid outdoorsperson.","I am a creator, a designer, and an avid [ROLE NOUN]."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am a creator, a designer, and an avid outdoorsman.","I am a creator, a designer, and an avid [ROLE NOUN]."
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am a creator, a designer, and an avid outdoorswoman.","I am a creator, a designer, and an avid [ROLE NOUN]."
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid sports and outdoorsperson enjoying fishing boating, hunting, hockey and baseball.","I am an avid sports and [ROLE NOUN] enjoying fishing boating, hunting, hockey and baseball."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid sports and outdoorsman enjoying fishing boating, hunting, hockey and baseball.","I am an avid sports and [ROLE NOUN] enjoying fishing boating, hunting, hockey and baseball."
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid sports and outdoorswoman enjoying fishing boating, hunting, hockey and baseball.","I am an avid sports and [ROLE NOUN] enjoying fishing boating, hunting, hockey and baseball."
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","In my personal time, I love going to the gym, surfing, snowboarding, cooking, outdoorsperson, hanging out w my family and friends.","In my personal time, I love going to the gym, surfing, snowboarding, cooking, [ROLE NOUN], hanging out w my family and friends."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","In my personal time, I love going to the gym, surfing, snowboarding, cooking, outdoorsman, hanging out w my family and friends.","In my personal time, I love going to the gym, surfing, snowboarding, cooking, [ROLE NOUN], hanging out w my family and friends."
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","In my personal time, I love going to the gym, surfing, snowboarding, cooking, outdoorswoman, hanging out w my family and friends.","In my personal time, I love going to the gym, surfing, snowboarding, cooking, [ROLE NOUN], hanging out w my family and friends."
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Let me start off by saying that I’m an engineer-by-trade, outdoorsperson-at-heart.","Let me start off by saying that I’m an engineer-by-trade, [ROLE NOUN]-at-heart."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Let me start off by saying that I’m an engineer-by-trade, outdoorsman-at-heart.","Let me start off by saying that I’m an engineer-by-trade, [ROLE NOUN]-at-heart."
