index,role_noun,role_noun_set,sentence,task_wording,prompt_text
17,businessperson,"['businessperson', 'businessman', 'businesswoman']",I am also a businessperson and and a web developer.,simple,I am also a businessperson and and a web developer. I am a
18,businessperson,"['businessperson', 'businessman', 'businesswoman']","After sixteen years, I left to pursue “my dream” of being a successful businessperson.",simple,"After sixteen years, I left to pursue “my dream” of being a successful businessperson. I am a"
19,businessperson,"['businessperson', 'businessman', 'businesswoman']","Decide to act and profit from your proposals In my life I have grown up as a businessperson and my intention is to spread my experience and knowledge, and of course, to make my own profit from this.",simple,"Decide to act and profit from your proposals In my life I have grown up as a businessperson and my intention is to spread my experience and knowledge, and of course, to make my own profit from this. I am a"
20,businessperson,"['businessperson', 'businessman', 'businesswoman']","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and businessperson.",simple,"That is the underlying ethos in the way I practise as a therapist, teacher, trainer and businessperson. I am a"
21,businessperson,"['businessperson', 'businessman', 'businesswoman']","Others may have viewed me as an accomplished college graduate and businessperson, but I saw myself as a lost soul, always looking for something that felt right.",simple,"Others may have viewed me as an accomplished college graduate and businessperson, but I saw myself as a lost soul, always looking for something that felt right. I am a"
22,businessperson,"['businessperson', 'businessman', 'businesswoman']",Consequently my first attempt at being a businessperson failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all.,simple,Consequently my first attempt at being a businessperson failed spectacularly with just 6 months worth of trading and thousands of dollars worth of debt to show for it all. I am a
23,businessperson,"['businessperson', 'businessman', 'businesswoman']",I made a committed to learn what was needed to become a businessperson.,simple,I made a committed to learn what was needed to become a businessperson. I am a
24,businessperson,"['businessperson', 'businessman', 'businesswoman']","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a businessperson that lives, breaths and loves to create.",simple,"I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a businessperson that lives, breaths and loves to create. I am a"
25,businessperson,"['businessperson', 'businessman', 'businesswoman']","I thought I had it all, successful career as a ballerina, turned executive businessperson, then accomplished entrepreneur.",simple,"I thought I had it all, successful career as a ballerina, turned executive businessperson, then accomplished entrepreneur. I am a"
26,businessperson,"['businessperson', 'businessman', 'businesswoman']","My lifelong goal is to be an honest, ethical, and authentic businessperson.",simple,"My lifelong goal is to be an honest, ethical, and authentic businessperson. I am a"
27,businessperson,"['businessperson', 'businessman', 'businesswoman']","I'm a businessperson, a strategic partner to the brands I love and endorse.",simple,"I'm a businessperson, a strategic partner to the brands I love and endorse. I am a"
28,businessperson,"['businessperson', 'businessman', 'businesswoman']",I can tell you I am not the city businessperson I always dreamed I would be and I’m okay with that.,simple,I can tell you I am not the city businessperson I always dreamed I would be and I’m okay with that. I am a
29,businessperson,"['businessperson', 'businessman', 'businesswoman']","As a businessperson, I’m known for my incomparable salesmanship.",simple,"As a businessperson, I’m known for my incomparable salesmanship. I am a"
30,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorsperson with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography.",simple,"I am an avid outdoorsperson with a variety of interests, including birding, botany, hiking, travel, wine tasting, and photography. I am a"
31,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m an experimental physicist by day (and night, I guess) and curious outdoorsperson much of the rest of the time.",simple,"I’m an experimental physicist by day (and night, I guess) and curious outdoorsperson much of the rest of the time. I am a"
32,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I’m an avid outdoorsperson.,simple,I’m an avid outdoorsperson. I am a
33,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Like many of you, I have been an avid outdoorsperson all my life.",simple,"Like many of you, I have been an avid outdoorsperson all my life. I am a"
34,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsperson and I love making and creating things.,simple,I am an avid outdoorsperson and I love making and creating things. I am a
35,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","When I started this blog, I was a big city kid turned fake outdoorsperson.",simple,"When I started this blog, I was a big city kid turned fake outdoorsperson. I am a"
36,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",From grass-roots I am an avid outdoorsperson and enjoy skiing in the winters and riding my bike and fishing in the summers.,simple,From grass-roots I am an avid outdoorsperson and enjoy skiing in the winters and riding my bike and fishing in the summers. I am a
37,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am a creator, a designer, and an avid outdoorsperson.",simple,"I am a creator, a designer, and an avid outdoorsperson. I am a"
38,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid sports and outdoorsperson enjoying fishing boating, hunting, hockey and baseball.",simple,"I am an avid sports and outdoorsperson enjoying fishing boating, hunting, hockey and baseball. I am a"
39,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","In my personal time, I love going to the gym, surfing, snowboarding, cooking, outdoorsperson, hanging out w my family and friends.",simple,"In my personal time, I love going to the gym, surfing, snowboarding, cooking, outdoorsperson, hanging out w my family and friends. I am a"
40,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Let me start off by saying that I’m an engineer-by-trade, outdoorsperson-at-heart.",simple,"Let me start off by saying that I’m an engineer-by-trade, outdoorsperson-at-heart. I am a"
41,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","It’s taken me years of research, practice and mistakes to become the outdoorsperson I am today.",simple,"It’s taken me years of research, practice and mistakes to become the outdoorsperson I am today. I am a"
42,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Beyond music and academics, I am also a dedicated outdoorsperson and environmentalist.",simple,"Beyond music and academics, I am also a dedicated outdoorsperson and environmentalist. I am a"
43,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I admit to being a fair weather outdoorsperson most of the time.,simple,I admit to being a fair weather outdoorsperson most of the time. I am a
44,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","So as an avid outdoorsperson, why wouldn't I want my children to have the greatest classroom experiences available!",simple,"So as an avid outdoorsperson, why wouldn't I want my children to have the greatest classroom experiences available! I am a"
45,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a runner, a yogi, a outdoorsperson, and a cyclist.",simple,"I’m a runner, a yogi, a outdoorsperson, and a cyclist. I am a"
46,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","At various points in my life I've been an avid outdoorsperson, a puzzle hunt geek, a board game aficionado, and a keen creative writer.",simple,"At various points in my life I've been an avid outdoorsperson, a puzzle hunt geek, a board game aficionado, and a keen creative writer. I am a"
47,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorsperson, with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few.",simple,"I am an avid outdoorsperson, with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few. I am a"
48,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an outdoorsperson who engages in all manners of sports.",simple,"Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an outdoorsperson who engages in all manners of sports. I am a"
49,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","While I like to think I’m a natural outdoorsperson, the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes).",simple,"While I like to think I’m a natural outdoorsperson, the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes). I am a"
50,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsperson and a life-long creative.,simple,I am an avid outdoorsperson and a life-long creative. I am a
51,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a blogger, professional, parent, and outdoorsperson.",simple,"I’m a blogger, professional, parent, and outdoorsperson. I am a"
52,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsperson and my inspiration comes from nature.,simple,I am an avid outdoorsperson and my inspiration comes from nature. I am a
53,firefighter,"['firefighter', 'fireman', 'firewoman']",My vocation was to be a firefighter and training was never easy.,simple,My vocation was to be a firefighter and training was never easy. I am a
54,firefighter,"['firefighter', 'fireman', 'firewoman']","As a career firefighter, the same passion I’ve applied to my profession goes directly into my passion for creating cakes.",simple,"As a career firefighter, the same passion I’ve applied to my profession goes directly into my passion for creating cakes. I am a"
55,firefighter,"['firefighter', 'fireman', 'firewoman']",I am personally a retired firefighter with 27 years of experience.,simple,I am personally a retired firefighter with 27 years of experience. I am a
56,firefighter,"['firefighter', 'fireman', 'firewoman']","Fun fact about me, I used to be a volunteer firefighter.",simple,"Fun fact about me, I used to be a volunteer firefighter. I am a"
57,firefighter,"['firefighter', 'fireman', 'firewoman']",Electronics and communications equipment put me smack in the middle of public safety as a volunteer firefighter.,simple,Electronics and communications equipment put me smack in the middle of public safety as a volunteer firefighter. I am a
58,firefighter,"['firefighter', 'fireman', 'firewoman']","Other careers I debated about from a young age, included firefighter, farmer, and chef.",simple,"Other careers I debated about from a young age, included firefighter, farmer, and chef. I am a"
59,firefighter,"['firefighter', 'fireman', 'firewoman']","I am also a firefighter, which encourages me to live by the same principles I teach my athletes.",simple,"I am also a firefighter, which encourages me to live by the same principles I teach my athletes. I am a"
60,firefighter,"['firefighter', 'fireman', 'firewoman']",You would think being a firefighter I would be in great shape!,simple,You would think being a firefighter I would be in great shape! I am a
61,firefighter,"['firefighter', 'fireman', 'firewoman']",I absolutely love my Town and also proud to serve my community as an on call firefighter.,simple,I absolutely love my Town and also proud to serve my community as an on call firefighter. I am a
62,firefighter,"['firefighter', 'fireman', 'firewoman']",This evolvement can be seen in the images I now capture while on the fire line as a wildfire firefighter.,simple,This evolvement can be seen in the images I now capture while on the fire line as a wildfire firefighter. I am a
63,firefighter,"['firefighter', 'fireman', 'firewoman']",I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy firefighter.,simple,I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy firefighter. I am a
64,firefighter,"['firefighter', 'fireman', 'firewoman']","In the mid 2000s I became a firefighter, and thereafter a paramedic.",simple,"In the mid 2000s I became a firefighter, and thereafter a paramedic. I am a"
65,firefighter,"['firefighter', 'fireman', 'firewoman']",It didn’t take me long to realize how hard it was to earn a living as a firefighter/paramedic.,simple,It didn’t take me long to realize how hard it was to earn a living as a firefighter/paramedic. I am a
66,firefighter,"['firefighter', 'fireman', 'firewoman']",I became a firefighter.,simple,I became a firefighter. I am a
67,firefighter,"['firefighter', 'fireman', 'firewoman']","I work in fire protection, not a firefighter, and I work out 5 days a week.",simple,"I work in fire protection, not a firefighter, and I work out 5 days a week. I am a"
68,firefighter,"['firefighter', 'fireman', 'firewoman']",I am a career firefighter that works 2 full time jobs.,simple,I am a career firefighter that works 2 full time jobs. I am a
69,firefighter,"['firefighter', 'fireman', 'firewoman']","I'm just an old retired firefighter who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights.",simple,"I'm just an old retired firefighter who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights. I am a"
70,firefighter,"['firefighter', 'fireman', 'firewoman']","I am a farmer, an ally, a firestarter, a firefighter.",simple,"I am a farmer, an ally, a firestarter, a firefighter. I am a"
71,firefighter,"['firefighter', 'fireman', 'firewoman']","I was also a polar bear-guard, a helicopter controller and also a firefighter on the helicopter squad.",simple,"I was also a polar bear-guard, a helicopter controller and also a firefighter on the helicopter squad. I am a"
72,firefighter,"['firefighter', 'fireman', 'firewoman']","I went to a few colleges last year, so I’m known as the town firefighter.",simple,"I went to a few colleges last year, so I’m known as the town firefighter. I am a"
73,police officer,"['police officer', 'policeman', 'policewoman']",It was these early memories that sparked my desire to become a police officer.,simple,It was these early memories that sparked my desire to become a police officer. I am a
74,police officer,"['police officer', 'policeman', 'policewoman']","I started my career as a police officer working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began.",simple,"I started my career as a police officer working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began. I am a"
75,police officer,"['police officer', 'policeman', 'policewoman']",It was then when my mind shifted from wanting to be a police officer to wanting to be a crime beat reporter.,simple,It was then when my mind shifted from wanting to be a police officer to wanting to be a crime beat reporter. I am a
76,police officer,"['police officer', 'policeman', 'policewoman']","I started in the business of caring for pets due to my love of animals, having previously been a police officer for 22 years.",simple,"I started in the business of caring for pets due to my love of animals, having previously been a police officer for 22 years. I am a"
77,police officer,"['police officer', 'policeman', 'policewoman']","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a police officer became a major part of my life for nearly 30 years.",simple,"While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a police officer became a major part of my life for nearly 30 years. I am a"
78,police officer,"['police officer', 'policeman', 'policewoman']",My full-time job for the last 15 years has been a police officer.,simple,My full-time job for the last 15 years has been a police officer. I am a
79,police officer,"['police officer', 'policeman', 'policewoman']",During my career as an police officer I've always remained active by doing small edits at existing Wordpress sites.,simple,During my career as an police officer I've always remained active by doing small edits at existing Wordpress sites. I am a
80,police officer,"['police officer', 'policeman', 'policewoman']","From an early age, I always wanted to be a police officer.",simple,"From an early age, I always wanted to be a police officer. I am a"
81,police officer,"['police officer', 'policeman', 'policewoman']",I am a retired police officer and veteran (achievements I am incredibly proud of).,simple,I am a retired police officer and veteran (achievements I am incredibly proud of). I am a
82,police officer,"['police officer', 'policeman', 'policewoman']",I once had ambitions to be a police officer.,simple,I once had ambitions to be a police officer. I am a
83,police officer,"['police officer', 'policeman', 'policewoman']","I’d hunted down and arrested murderers, rapists, burglars and drug dealers as a police officer.",simple,"I’d hunted down and arrested murderers, rapists, burglars and drug dealers as a police officer. I am a"
84,police officer,"['police officer', 'policeman', 'policewoman']","During my five years of active duty, I worked as a military police officer.",simple,"During my five years of active duty, I worked as a military police officer. I am a"
85,police officer,"['police officer', 'policeman', 'policewoman']","Before I went to school, I worked as an auto mechanic, campus police officer, factory helot, day laborer and cab driver for a former motorcycle gang (don’t ask).",simple,"Before I went to school, I worked as an auto mechanic, campus police officer, factory helot, day laborer and cab driver for a former motorcycle gang (don’t ask). I am a"
86,police officer,"['police officer', 'policeman', 'policewoman']","When I was four, I was set on becoming a police officer, but that never panned out.",simple,"When I was four, I was set on becoming a police officer, but that never panned out. I am a"
87,police officer,"['police officer', 'policeman', 'policewoman']",I also believe that by working as a police officer I also got a more humble picture of my fellow human beings.,simple,I also believe that by working as a police officer I also got a more humble picture of my fellow human beings. I am a
88,police officer,"['police officer', 'policeman', 'policewoman']","Finally, I am not trying to write a formal academic treatise free of bias – I’m a police officer, writing about police related mental health incidents from that perspective and there are reasons for that.",simple,"Finally, I am not trying to write a formal academic treatise free of bias – I’m a police officer, writing about police related mental health incidents from that perspective and there are reasons for that. I am a"
89,police officer,"['police officer', 'policeman', 'policewoman']","Far too much rubbish described as 'Fine' or 'Very Fine' is offered for sale these days, and I refuse to be part of such a practise, which to me as a retired police officer amounts to fraud!",simple,"Far too much rubbish described as 'Fine' or 'Very Fine' is offered for sale these days, and I refuse to be part of such a practise, which to me as a retired police officer amounts to fraud! I am a"
90,police officer,"['police officer', 'policeman', 'policewoman']","Far too much rubbish described as 'Fine' or 'Very Fine' is offered for sale these days, and I refuse to be part of such a practise, which to me as a retired police officer amounts to fraud!",simple,"Far too much rubbish described as 'Fine' or 'Very Fine' is offered for sale these days, and I refuse to be part of such a practise, which to me as a retired police officer amounts to fraud! I am a"
91,police officer,"['police officer', 'policeman', 'policewoman']",I was rubbish at being a police officer and got thrown out after 2 years.,simple,I was rubbish at being a police officer and got thrown out after 2 years. I am a
92,police officer,"['police officer', 'policeman', 'policewoman']","At that point, I’d already been a police officer for over ten years.",simple,"At that point, I’d already been a police officer for over ten years. I am a"
93,police officer,"['police officer', 'policeman', 'policewoman']","I have been a nurse, a police officer, a teacher and then for the last twenty five years, an educational psychologist.",simple,"I have been a nurse, a police officer, a teacher and then for the last twenty five years, an educational psychologist. I am a"
94,police officer,"['police officer', 'policeman', 'policewoman']","As a child I had many ambitions, I wanted to be a teacher, a police officer and a beautician!",simple,"As a child I had many ambitions, I wanted to be a teacher, a police officer and a beautician! I am a"
95,police officer,"['police officer', 'policeman', 'policewoman']","But also its dark sides are constant companions, which I experience again and again as a passionate kitesurfer, in my profession as a police officer and in everyday life.",simple,"But also its dark sides are constant companions, which I experience again and again as a passionate kitesurfer, in my profession as a police officer and in everyday life. I am a"
96,police officer,"['police officer', 'policeman', 'policewoman']",My background is in direct sales but I started my working life as a police officer!,simple,My background is in direct sales but I started my working life as a police officer! I am a
97,police officer,"['police officer', 'policeman', 'policewoman']",When I was a teenager I wanted to become a police officer or a forester.,simple,When I was a teenager I wanted to become a police officer or a forester. I am a
98,police officer,"['police officer', 'policeman', 'policewoman']","I’ve always been a believer in thinking that I can do anything that I set my mind to, which has had me pondering on being a police officer, a lawyer, a social worker and a teacher, just to name a few professions that have crossed my mind over the years.",simple,"I’ve always been a believer in thinking that I can do anything that I set my mind to, which has had me pondering on being a police officer, a lawyer, a social worker and a teacher, just to name a few professions that have crossed my mind over the years. I am a"
99,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Growing up I always imagined being a TV meteorologist, however sometimes life throws you a curve ball.",simple,"Growing up I always imagined being a TV meteorologist, however sometimes life throws you a curve ball. I am a"
100,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",My first job out of college was as a meteorologist at a weather modification company.,simple,My first job out of college was as a meteorologist at a weather modification company. I am a
101,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Formerly a broadcast meteorologist, I left what I once considered a dream job to pursue happiness and it has been the greatest decision I’ve ever made!",simple,"Formerly a broadcast meteorologist, I left what I once considered a dream job to pursue happiness and it has been the greatest decision I’ve ever made! I am a"
102,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","I worked as a meteorologist, forecasting the weather both at home as well as in wild, remote places overseas.",simple,"I worked as a meteorologist, forecasting the weather both at home as well as in wild, remote places overseas. I am a"
103,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I’m a meteorologist for a television station.,simple,I’m a meteorologist for a television station. I am a
104,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","As a meteorologist and storm chaser, I continued to develop a love for the landscape and the scenes nature has to offer.",simple,"As a meteorologist and storm chaser, I continued to develop a love for the landscape and the scenes nature has to offer. I am a"
105,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I am a cosmic meteorologist - I read predictions fully aware that they are only probabilities.,simple,I am a cosmic meteorologist - I read predictions fully aware that they are only probabilities. I am a
106,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","As a career broadcast meteorologist I bring unique, relatable experience to my clients from forecasting every type of extreme weather to life-seasoned communications skills.",simple,"As a career broadcast meteorologist I bring unique, relatable experience to my clients from forecasting every type of extreme weather to life-seasoned communications skills. I am a"
107,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I’m a trained meteorologist with 7 years of experience working on television on the local level and on the national level.,simple,I’m a trained meteorologist with 7 years of experience working on television on the local level and on the national level. I am a
108,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Before I became a piano teacher, I was a television meteorologist.",simple,"Before I became a piano teacher, I was a television meteorologist. I am a"
109,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","There are many similar pictures — I personally made a lot of them in the mountains — but with clear blue sky, or with natural clouds (I also worked for many years as a meteorologist at high mountain weather station, and am very familiar with the weather phenomenon).",simple,"There are many similar pictures — I personally made a lot of them in the mountains — but with clear blue sky, or with natural clouds (I also worked for many years as a meteorologist at high mountain weather station, and am very familiar with the weather phenomenon). I am a"
110,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I am not your average meteorologist.,simple,I am not your average meteorologist. I am a
111,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","For more than 20 years, I have been blessed to be your meteorologist.",simple,"For more than 20 years, I have been blessed to be your meteorologist. I am a"
112,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","From the very first time I crawled under my bed to hide from a thunderstorm, I knew exactly what I wanted to be - a broadcast meteorologist.",simple,"From the very first time I crawled under my bed to hide from a thunderstorm, I knew exactly what I wanted to be - a broadcast meteorologist. I am a"
113,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",Actually once I almost became a meteorologist in one of the polish TV stations.,simple,Actually once I almost became a meteorologist in one of the polish TV stations. I am a
114,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Now TV wasn’t ever a field I thought I would be a part of, but here was my chance to be a meteorologist…something I had always wanted to be.",simple,"Now TV wasn’t ever a field I thought I would be a part of, but here was my chance to be a meteorologist…something I had always wanted to be. I am a"
115,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",My very first goal was to be a meteorologist on a local news station.,simple,My very first goal was to be a meteorologist on a local news station. I am a
116,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","For more than 20 years, I have been blessed to be your meteorologist.",simple,"For more than 20 years, I have been blessed to be your meteorologist. I am a"
=======
0,businessperson,"['businessperson', 'businessman', 'businesswoman']",I am a successful businessperson having run residential and commercial real estate brokerages and a mortgage brokerage.,simple,I am a successful businessperson having run residential and commercial real estate brokerages and a mortgage brokerage. I am a
1,businessperson,"['businessperson', 'businessman', 'businesswoman']","I am passionate about people, and as a businessperson I show my passion by giving my customers exceptional service.",simple,"I am passionate about people, and as a businessperson I show my passion by giving my customers exceptional service. I am a"
2,businessperson,"['businessperson', 'businessman', 'businesswoman']",I am also a businessperson and and a web developer.,simple,I am also a businessperson and and a web developer. I am a
3,businessperson,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a
4,businessperson,"['businessperson', 'businessman', 'businesswoman']",I was the only expatriate American businessperson in the country and with no television and limited radio; it was quite a learning experience.,simple,I was the only expatriate American businessperson in the country and with no television and limited radio; it was quite a learning experience. I am a
5,businessperson,"['businessperson', 'businessman', 'businesswoman']","That is the underlying ethos in the way I practise as a therapist, teacher, trainer and businessperson.",simple,"That is the underlying ethos in the way I practise as a therapist, teacher, trainer and businessperson. I am a"
6,businessperson,"['businessperson', 'businessman', 'businesswoman']","I thought I had it all, successful career as a ballerina, turned executive businessperson, then accomplished entrepreneur.",simple,"I thought I had it all, successful career as a ballerina, turned executive businessperson, then accomplished entrepreneur. I am a"
7,businessperson,"['businessperson', 'businessman', 'businesswoman']",Charity is one of the big reasons I work so hard to be the best investor and businessperson possible.,simple,Charity is one of the big reasons I work so hard to be the best investor and businessperson possible. I am a
8,businessperson,"['businessperson', 'businessman', 'businesswoman']","I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a businessperson that lives, breaths and loves to create.",simple,"I’ve traveled a long, zigzagging path to get to the point where I will describe myself as a businessperson that lives, breaths and loves to create. I am a"
9,businessperson,"['businessperson', 'businessman', 'businesswoman']",I can tell you I am not the city businessperson I always dreamed I would be and I’m okay with that.,simple,I can tell you I am not the city businessperson I always dreamed I would be and I’m okay with that. I am a
10,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Let me start off by saying that I’m an engineer-by-trade, outdoorsperson-at-heart.",simple,"Let me start off by saying that I’m an engineer-by-trade, outdoorsperson-at-heart. I am a"
